"Date","Animals in Residence"
"2013-11-26","16"
"2013-11-27","16"
"2013-11-28","16"
"2013-11-29","16"
"2013-11-30","17"
"2013-12-01","17"
"2013-12-02","18"
"2013-12-03","19"
"2013-12-04","21"
"2013-12-05","23"
"2013-12-06","24"
"2013-12-07","26"
"2013-12-08","26"
"2013-12-09","27"
"2013-12-10","30"
"2013-12-11","34"
"2013-12-12","37"
"2013-12-13","39"
"2013-12-14","41"
"2013-12-15","42"
"2013-12-16","46"
"2013-12-17","49"
"2013-12-18","51"
"2013-12-19","52"
"2013-12-20","62"
"2013-12-21","68"
"2013-12-22","68"
"2013-12-23","73"
"2013-12-24","81"
"2013-12-25","81"
"2013-12-26","93"
"2013-12-27","96"
"2013-12-28","105"
"2013-12-29","108"
"2013-12-30","108"
"2013-12-31","120"
"2014-01-01","115"
"2014-01-02","115"
"2014-01-03","113"
"2014-01-04","114"
"2014-01-05","114"
"2014-01-06","116"
"2014-01-07","110"
"2014-01-08","101"
"2014-01-09","99"
"2014-01-10","97"
"2014-01-11","98"
"2014-01-12","100"
"2014-01-13","104"
"2014-01-14","98"
"2014-01-15","99"
"2014-01-16","101"
"2014-01-17","102"
"2014-01-18","95"
"2014-01-19","97"
"2014-01-20","102"
"2014-01-21","103"
"2014-01-22","102"
"2014-01-23","103"
"2014-01-24","105"
"2014-01-25","103"
"2014-01-26","102"
"2014-01-27","101"
"2014-01-28","106"
"2014-01-29","96"
"2014-01-30","99"
"2014-01-31","100"
"2014-02-01","127"
"2014-02-02","126"
"2014-02-03","131"
"2014-02-04","123"
"2014-02-05","120"
"2014-02-06","122"
"2014-02-07","120"
"2014-02-08","130"
"2014-02-09","132"
"2014-02-10","133"
"2014-02-11","128"
"2014-02-12","128"
"2014-02-13","128"
"2014-02-14","133"
"2014-02-15","135"
"2014-02-16","136"
"2014-02-17","133"
"2014-02-18","140"
"2014-02-19","142"
"2014-02-20","138"
"2014-02-21","139"
"2014-02-22","138"
"2014-02-23","140"
"2014-02-24","150"
"2014-02-25","151"
"2014-02-26","150"
"2014-02-27","148"
"2014-02-28","149"
"2014-03-01","143"
"2014-03-02","144"
"2014-03-03","146"
"2014-03-04","142"
"2014-03-05","139"
"2014-03-06","146"
"2014-03-07","151"
"2014-03-08","154"
"2014-03-09","155"
"2014-03-10","157"
"2014-03-11","162"
"2014-03-12","149"
"2014-03-13","154"
"2014-03-14","150"
"2014-03-15","151"
"2014-03-16","152"
"2014-03-17","158"
"2014-03-18","152"
"2014-03-19","149"
"2014-03-20","152"
"2014-03-21","149"
"2014-03-22","144"
"2014-03-23","144"
"2014-03-24","147"
"2014-03-25","145"
"2014-03-26","143"
"2014-03-27","142"
"2014-03-28","141"
"2014-03-29","144"
"2014-03-30","142"
"2014-03-31","147"
"2014-04-01","145"
"2014-04-02","147"
"2014-04-03","146"
"2014-04-04","152"
"2014-04-05","156"
"2014-04-06","157"
"2014-04-07","163"
"2014-04-08","166"
"2014-04-09","166"
"2014-04-10","163"
"2014-04-11","168"
"2014-04-12","185"
"2014-04-13","186"
"2014-04-14","184"
"2014-04-15","198"
"2014-04-16","200"
"2014-04-17","201"
"2014-04-18","202"
"2014-04-19","197"
"2014-04-20","197"
"2014-04-21","199"
"2014-04-22","204"
"2014-04-23","194"
"2014-04-24","196"
"2014-04-25","200"
"2014-04-26","202"
"2014-04-27","200"
"2014-04-28","193"
"2014-04-29","185"
"2014-04-30","183"
"2014-05-01","139"
"2014-05-02","139"
"2014-05-03","131"
"2014-05-04","129"
"2014-05-05","135"
"2014-05-06","134"
"2014-05-07","132"
"2014-05-08","137"
"2014-05-09","136"
"2014-05-10","135"
"2014-05-11","137"
"2014-05-12","136"
"2014-05-13","138"
"2014-05-14","139"
"2014-05-15","136"
"2014-05-16","141"
"2014-05-17","139"
"2014-05-18","138"
"2014-05-19","142"
"2014-05-20","142"
"2014-05-21","152"
"2014-05-22","152"
"2014-05-23","148"
"2014-05-24","137"
"2014-05-25","138"
"2014-05-26","140"
"2014-05-27","143"
"2014-05-28","143"
"2014-05-29","144"
"2014-05-30","142"
"2014-05-31","150"
"2014-06-01","150"
"2014-06-02","158"
"2014-06-03","153"
"2014-06-04","158"
"2014-06-05","169"
"2014-06-06","164"
"2014-06-07","159"
"2014-06-08","159"
"2014-06-09","163"
"2014-06-10","164"
"2014-06-11","182"
"2014-06-12","179"
"2014-06-13","178"
"2014-06-14","166"
"2014-06-15","166"
"2014-06-16","167"
"2014-06-17","163"
"2014-06-18","155"
"2014-06-19","154"
"2014-06-20","149"
"2014-06-21","139"
"2014-06-22","141"
"2014-06-23","144"
"2014-06-24","154"
"2014-06-25","156"
"2014-06-26","169"
"2014-06-27","171"
"2014-06-28","157"
"2014-06-29","157"
"2014-06-30","157"
"2014-07-01","163"
"2014-07-02","161"
"2014-07-03","164"
"2014-07-04","168"
"2014-07-05","164"
"2014-07-06","161"
"2014-07-07","165"
"2014-07-08","164"
"2014-07-09","164"
"2014-07-10","161"
"2014-07-11","160"
"2014-07-12","157"
"2014-07-13","157"
"2014-07-14","159"
"2014-07-15","163"
"2014-07-16","170"
"2014-07-17","165"
"2014-07-18","168"
"2014-07-19","168"
"2014-07-20","167"
"2014-07-21","172"
"2014-07-22","170"
"2014-07-23","177"
"2014-07-24","182"
"2014-07-25","176"
"2014-07-26","186"
"2014-07-27","188"
"2014-07-28","190"
"2014-07-29","191"
"2014-07-30","183"
"2014-07-31","186"
"2014-08-01","182"
"2014-08-02","182"
"2014-08-03","180"
"2014-08-04","186"
"2014-08-05","184"
"2014-08-06","179"
"2014-08-07","178"
"2014-08-08","183"
"2014-08-09","198"
"2014-08-10","201"
"2014-08-11","196"
"2014-08-12","198"
"2014-08-13","203"
"2014-08-14","213"
"2014-08-15","211"
"2014-08-16","211"
"2014-08-17","211"
"2014-08-18","228"
"2014-08-19","236"
"2014-08-20","238"
"2014-08-21","217"
"2014-08-22","217"
"2014-08-23","210"
"2014-08-24","212"
"2014-08-25","214"
"2014-08-26","214"
"2014-08-27","207"
"2014-08-28","211"
"2014-08-29","211"
"2014-08-30","210"
"2014-08-31","211"
"2014-09-01","213"
"2014-09-02","227"
"2014-09-03","221"
"2014-09-04","218"
"2014-09-05","216"
"2014-09-06","213"
"2014-09-07","215"
"2014-09-08","221"
"2014-09-09","232"
"2014-09-10","216"
"2014-09-11","227"
"2014-09-12","222"
"2014-09-13","214"
"2014-09-14","220"
"2014-09-15","222"
"2014-09-16","222"
"2014-09-17","218"
"2014-09-18","216"
"2014-09-19","199"
"2014-09-20","207"
"2014-09-21","208"
"2014-09-22","210"
"2014-09-23","224"
"2014-09-24","228"
"2014-09-25","222"
"2014-09-26","220"
"2014-09-27","219"
"2014-09-28","222"
"2014-09-29","223"
"2014-09-30","211"
"2014-10-01","211"
"2014-10-02","222"
"2014-10-03","215"
"2014-10-04","208"
"2014-10-05","209"
"2014-10-06","206"
"2014-10-07","204"
"2014-10-08","200"
"2014-10-09","201"
"2014-10-10","210"
"2014-10-11","199"
"2014-10-12","191"
"2014-10-13","195"
"2014-10-14","192"
"2014-10-15","196"
"2014-10-16","199"
"2014-10-17","201"
"2014-10-18","200"
"2014-10-19","200"
"2014-10-20","201"
"2014-10-21","218"
"2014-10-22","218"
"2014-10-23","224"
"2014-10-24","219"
"2014-10-25","211"
"2014-10-26","214"
"2014-10-27","220"
"2014-10-28","223"
"2014-10-29","215"
"2014-10-30","213"
"2014-10-31","209"
"2014-11-01","202"
"2014-11-02","200"
"2014-11-03","200"
"2014-11-04","198"
"2014-11-05","189"
"2014-11-06","191"
"2014-11-07","192"
"2014-11-08","199"
"2014-11-09","198"
"2014-11-10","199"
"2014-11-11","199"
"2014-11-12","187"
"2014-11-13","176"
"2014-11-14","190"
"2014-11-15","186"
"2014-11-16","186"
"2014-11-17","190"
"2014-11-18","194"
"2014-11-19","188"
"2014-11-20","183"
"2014-11-21","174"
"2014-11-22","181"
"2014-11-23","169"
"2014-11-24","173"
"2014-11-25","170"
"2014-11-26","177"
"2014-11-27","176"
"2014-11-28","177"
"2014-11-29","164"
"2014-11-30","164"
"2014-12-01","167"
"2014-12-02","169"
"2014-12-03","167"
"2014-12-04","163"
"2014-12-05","172"
"2014-12-06","172"
"2014-12-07","172"
"2014-12-08","176"
"2014-12-09","171"
"2014-12-10","174"
"2014-12-11","170"
"2014-12-12","173"
"2014-12-13","161"
"2014-12-14","163"
"2014-12-15","163"
"2014-12-16","169"
"2014-12-17","165"
"2014-12-18","164"
"2014-12-19","159"
"2014-12-20","157"
"2014-12-21","159"
"2014-12-22","164"
"2014-12-23","158"
"2014-12-24","150"
"2014-12-25","152"
"2014-12-26","148"
"2014-12-27","147"
"2014-12-28","149"
"2014-12-29","155"
"2014-12-30","158"
"2014-12-31","147"
"2015-01-01","148"
"2015-01-02","144"
"2015-01-03","141"
"2015-01-04","135"
"2015-01-05","135"
"2015-01-06","134"
"2015-01-07","134"
"2015-01-08","137"
"2015-01-09","133"
"2015-01-10","139"
"2015-01-11","137"
"2015-01-12","140"
"2015-01-13","128"
"2015-01-14","135"
"2015-01-15","138"
"2015-01-16","132"
"2015-01-17","137"
"2015-01-18","137"
"2015-01-19","136"
"2015-01-20","142"
"2015-01-21","141"
"2015-01-22","136"
"2015-01-23","135"
"2015-01-24","132"
"2015-01-25","133"
"2015-01-26","132"
"2015-01-27","134"
"2015-01-28","143"
"2015-01-29","156"
"2015-01-30","157"
"2015-01-31","151"
"2015-02-01","153"
"2015-02-02","153"
"2015-02-03","152"
"2015-02-04","152"
"2015-02-05","153"
"2015-02-06","146"
"2015-02-07","145"
"2015-02-08","143"
"2015-02-09","139"
"2015-02-10","137"
"2015-02-11","139"
"2015-02-12","139"
"2015-02-13","138"
"2015-02-14","126"
"2015-02-15","127"
"2015-02-16","128"
"2015-02-17","129"
"2015-02-18","139"
"2015-02-19","142"
"2015-02-20","134"
"2015-02-21","141"
"2015-02-22","140"
"2015-02-23","151"
"2015-02-24","139"
"2015-02-25","130"
"2015-02-26","127"
"2015-02-27","128"
"2015-02-28","132"
"2015-03-01","131"
"2015-03-02","129"
"2015-03-03","127"
"2015-03-04","121"
"2015-03-05","133"
"2015-03-06","132"
"2015-03-07","129"
"2015-03-08","128"
"2015-03-09","133"
"2015-03-10","122"
"2015-03-11","139"
"2015-03-12","133"
"2015-03-13","140"
"2015-03-14","137"
"2015-03-15","138"
"2015-03-16","141"
"2015-03-17","156"
"2015-03-18","157"
"2015-03-19","159"
"2015-03-20","160"
"2015-03-21","156"
"2015-03-22","158"
"2015-03-23","158"
"2015-03-24","156"
"2015-03-25","159"
"2015-03-26","163"
"2015-03-27","154"
"2015-03-28","153"
"2015-03-29","152"
"2015-03-30","155"
"2015-03-31","153"
"2015-04-01","154"
"2015-04-02","141"
"2015-04-03","137"
"2015-04-04","130"
"2015-04-05","130"
"2015-04-06","133"
"2015-04-07","134"
"2015-04-08","144"
"2015-04-09","139"
"2015-04-10","138"
"2015-04-11","139"
"2015-04-12","140"
"2015-04-13","142"
"2015-04-14","136"
"2015-04-15","135"
"2015-04-16","138"
"2015-04-17","140"
"2015-04-18","141"
"2015-04-19","146"
"2015-04-20","149"
"2015-04-21","137"
"2015-04-22","132"
"2015-04-23","138"
"2015-04-24","132"
"2015-04-25","133"
"2015-04-26","134"
"2015-04-27","132"
"2015-04-28","138"
"2015-04-29","134"
"2015-04-30","139"
"2015-05-01","134"
"2015-05-02","135"
"2015-05-03","137"
"2015-05-04","138"
"2015-05-05","124"
"2015-05-06","129"
"2015-05-07","134"
"2015-05-08","142"
"2015-05-09","155"
"2015-05-10","157"
"2015-05-11","158"
"2015-05-12","157"
"2015-05-13","156"
"2015-05-14","161"
"2015-05-15","170"
"2015-05-16","181"
"2015-05-17","183"
"2015-05-18","182"
"2015-05-19","180"
"2015-05-20","179"
"2015-05-21","173"
"2015-05-22","180"
"2015-05-23","177"
"2015-05-24","174"
"2015-05-25","174"
"2015-05-26","180"
"2015-05-27","181"
"2015-05-28","181"
"2015-05-29","178"
"2015-05-30","192"
"2015-05-31","192"
"2015-06-01","191"
"2015-06-02","193"
"2015-06-03","200"
"2015-06-04","197"
"2015-06-05","205"
"2015-06-06","217"
"2015-06-07","220"
"2015-06-08","221"
"2015-06-09","232"
"2015-06-10","234"
"2015-06-11","235"
"2015-06-12","228"
"2015-06-13","227"
"2015-06-14","229"
"2015-06-15","231"
"2015-06-16","234"
"2015-06-17","248"
"2015-06-18","248"
"2015-06-19","237"
"2015-06-20","236"
"2015-06-21","234"
"2015-06-22","236"
"2015-06-23","235"
"2015-06-24","233"
"2015-06-25","245"
"2015-06-26","243"
"2015-06-27","225"
"2015-06-28","224"
"2015-06-29","223"
"2015-06-30","206"
"2015-07-01","209"
"2015-07-02","220"
"2015-07-03","221"
"2015-07-04","233"
"2015-07-05","234"
"2015-07-06","245"
"2015-07-07","230"
"2015-07-08","225"
"2015-07-09","220"
"2015-07-10","222"
"2015-07-11","208"
"2015-07-12","209"
"2015-07-13","205"
"2015-07-14","211"
"2015-07-15","211"
"2015-07-16","212"
"2015-07-17","210"
"2015-07-18","204"
"2015-07-19","206"
"2015-07-20","205"
"2015-07-21","202"
"2015-07-22","204"
"2015-07-23","209"
"2015-07-24","212"
"2015-07-25","208"
"2015-07-26","208"
"2015-07-27","207"
"2015-07-28","205"
"2015-07-29","209"
"2015-07-30","212"
"2015-07-31","200"
"2015-08-01","195"
"2015-08-02","196"
"2015-08-03","196"
"2015-08-04","192"
"2015-08-05","194"
"2015-08-06","198"
"2015-08-07","197"
"2015-08-08","203"
"2015-08-09","204"
"2015-08-10","210"
"2015-08-11","214"
"2015-08-12","207"
"2015-08-13","203"
"2015-08-14","203"
"2015-08-15","185"
"2015-08-16","188"
"2015-08-17","196"
"2015-08-18","189"
"2015-08-19","182"
"2015-08-20","184"
"2015-08-21","198"
"2015-08-22","197"
"2015-08-23","199"
"2015-08-24","208"
"2015-08-25","198"
"2015-08-26","197"
"2015-08-27","184"
"2015-08-28","185"
"2015-08-29","208"
"2015-08-30","211"
"2015-08-31","214"
"2015-09-01","214"
"2015-09-02","217"
"2015-09-03","201"
"2015-09-04","201"
"2015-09-05","194"
"2015-09-06","199"
"2015-09-07","206"
"2015-09-08","215"
"2015-09-09","210"
"2015-09-10","195"
"2015-09-11","187"
"2015-09-12","174"
"2015-09-13","180"
"2015-09-14","184"
"2015-09-15","189"
"2015-09-16","196"
"2015-09-17","197"
"2015-09-18","199"
"2015-09-19","189"
"2015-09-20","189"
"2015-09-21","190"
"2015-09-22","197"
"2015-09-23","190"
"2015-09-24","183"
"2015-09-25","185"
"2015-09-26","196"
"2015-09-27","197"
"2015-09-28","199"
"2015-09-29","191"
"2015-09-30","199"
"2015-10-01","199"
"2015-10-02","190"
"2015-10-03","190"
"2015-10-04","194"
"2015-10-05","196"
"2015-10-06","186"
"2015-10-07","188"
"2015-10-08","184"
"2015-10-09","176"
"2015-10-10","163"
"2015-10-11","156"
"2015-10-12","161"
"2015-10-13","159"
"2015-10-14","154"
"2015-10-15","153"
"2015-10-16","149"
"2015-10-17","154"
"2015-10-18","154"
"2015-10-19","153"
"2015-10-20","157"
"2015-10-21","157"
"2015-10-22","147"
"2015-10-23","148"
"2015-10-24","146"
"2015-10-25","147"
"2015-10-26","151"
"2015-10-27","150"
"2015-10-28","147"
"2015-10-29","144"
"2015-10-30","152"
"2015-10-31","153"
"2015-11-01","155"
"2015-11-02","159"
"2015-11-03","157"
"2015-11-04","159"
"2015-11-05","155"
"2015-11-06","159"
"2015-11-07","155"
"2015-11-08","153"
"2015-11-09","154"
"2015-11-10","157"
"2015-11-11","157"
"2015-11-12","156"
"2015-11-13","149"
"2015-11-14","153"
"2015-11-15","152"
"2015-11-16","158"
"2015-11-17","158"
"2015-11-18","151"
"2015-11-19","146"
"2015-11-20","148"
"2015-11-21","145"
"2015-11-22","147"
"2015-11-23","150"
"2015-11-24","145"
"2015-11-25","142"
"2015-11-26","142"
"2015-11-27","143"
"2015-11-28","132"
"2015-11-29","133"
"2015-11-30","140"
"2015-12-01","141"
"2015-12-02","145"
"2015-12-03","140"
"2015-12-04","133"
"2015-12-05","135"
"2015-12-06","136"
"2015-12-07","136"
"2015-12-08","138"
"2015-12-09","139"
"2015-12-10","142"
"2015-12-11","140"
"2015-12-12","131"
"2015-12-13","133"
"2015-12-14","135"
"2015-12-15","135"
"2015-12-16","133"
"2015-12-17","121"
"2015-12-18","112"
"2015-12-19","103"
"2015-12-20","105"
"2015-12-21","107"
"2015-12-22","108"
"2015-12-23","110"
"2015-12-24","103"
"2015-12-25","106"
"2015-12-26","108"
"2015-12-27","108"
"2015-12-28","110"
"2015-12-29","116"
"2015-12-30","115"
"2015-12-31","107"
"2016-01-01","107"
"2016-01-02","106"
"2016-01-03","106"
"2016-01-04","112"
"2016-01-05","117"
"2016-01-06","124"
"2016-01-07","129"
"2016-01-08","117"
"2016-01-09","108"
"2016-01-10","111"
"2016-01-11","116"
"2016-01-12","118"
"2016-01-13","116"
"2016-01-14","112"
"2016-01-15","118"
"2016-01-16","117"
"2016-01-17","117"
"2016-01-18","116"
"2016-01-19","116"
"2016-01-20","110"
"2016-01-21","112"
"2016-01-22","103"
"2016-01-23","104"
"2016-01-24","104"
"2016-01-25","119"
"2016-01-26","125"
"2016-01-27","122"
"2016-01-28","126"
"2016-01-29","130"
"2016-01-30","129"
"2016-01-31","131"
"2016-02-01","134"
"2016-02-02","131"
"2016-02-03","129"
"2016-02-04","130"
"2016-02-05","136"
"2016-02-06","132"
"2016-02-07","133"
"2016-02-08","136"
"2016-02-09","127"
"2016-02-10","134"
"2016-02-11","135"
"2016-02-12","135"
"2016-02-13","130"
"2016-02-14","131"
"2016-02-15","132"
"2016-02-16","123"
"2016-02-17","130"
"2016-02-18","133"
"2016-02-19","128"
"2016-02-20","126"
"2016-02-21","129"
"2016-02-22","128"
"2016-02-23","117"
"2016-02-24","112"
"2016-02-25","110"
"2016-02-26","109"
"2016-02-27","108"
"2016-02-28","111"
"2016-02-29","113"
"2016-03-01","103"
"2016-03-02","101"
"2016-03-03","100"
"2016-03-04","99"
"2016-03-05","95"
"2016-03-06","100"
"2016-03-07","105"
"2016-03-08","108"
"2016-03-09","115"
"2016-03-10","112"
"2016-03-11","121"
"2016-03-12","118"
"2016-03-13","118"
"2016-03-14","115"
"2016-03-15","118"
"2016-03-16","114"
"2016-03-17","114"
"2016-03-18","117"
"2016-03-19","104"
"2016-03-20","103"
"2016-03-21","109"
"2016-03-22","105"
"2016-03-23","109"
"2016-03-24","108"
"2016-03-25","103"
"2016-03-26","102"
"2016-03-27","103"
"2016-03-28","109"
"2016-03-29","113"
"2016-03-30","113"
"2016-03-31","112"
"2016-04-01","115"
"2016-04-02","114"
"2016-04-03","115"
"2016-04-04","124"
"2016-04-05","116"
"2016-04-06","113"
"2016-04-07","116"
"2016-04-08","115"
"2016-04-09","116"
"2016-04-10","116"
"2016-04-11","119"
"2016-04-12","119"
"2016-04-13","110"
"2016-04-14","114"
"2016-04-15","112"
"2016-04-16","121"
"2016-04-17","122"
"2016-04-18","126"
"2016-04-19","122"
"2016-04-20","119"
"2016-04-21","114"
"2016-04-22","118"
"2016-04-23","116"
"2016-04-24","117"
"2016-04-25","123"
"2016-04-26","118"
"2016-04-27","117"
"2016-04-28","120"
"2016-04-29","121"
"2016-04-30","119"
"2016-05-01","121"
"2016-05-02","124"
"2016-05-03","125"
"2016-05-04","123"
"2016-05-05","127"
"2016-05-06","124"
"2016-05-07","121"
"2016-05-08","122"
"2016-05-09","125"
"2016-05-10","122"
"2016-05-11","117"
"2016-05-12","118"
"2016-05-13","120"
"2016-05-14","118"
"2016-05-15","118"
"2016-05-16","120"
"2016-05-17","122"
"2016-05-18","129"
"2016-05-19","125"
"2016-05-20","123"
"2016-05-21","121"
"2016-05-22","123"
"2016-05-23","128"
"2016-05-24","126"
"2016-05-25","149"
"2016-05-26","149"
"2016-05-27","143"
"2016-05-28","149"
"2016-05-29","150"
"2016-05-30","150"
"2016-05-31","157"
"2016-06-01","165"
"2016-06-02","169"
"2016-06-03","167"
"2016-06-04","178"
"2016-06-05","179"
"2016-06-06","180"
"2016-06-07","182"
"2016-06-08","179"
"2016-06-09","177"
"2016-06-10","172"
"2016-06-11","185"
"2016-06-12","186"
"2016-06-13","191"
"2016-06-14","181"
"2016-06-15","177"
"2016-06-16","177"
"2016-06-17","173"
"2016-06-18","177"
"2016-06-19","177"
"2016-06-20","182"
"2016-06-21","174"
"2016-06-22","178"
"2016-06-23","176"
"2016-06-24","172"
"2016-06-25","168"
"2016-06-26","164"
"2016-06-27","170"
"2016-06-28","175"
"2016-06-29","171"
"2016-06-30","171"
"2016-07-01","177"
"2016-07-02","177"
"2016-07-03","180"
"2016-07-04","180"
"2016-07-05","185"
"2016-07-06","195"
"2016-07-07","194"
"2016-07-08","197"
"2016-07-09","200"
"2016-07-10","201"
"2016-07-11","207"
"2016-07-12","207"
"2016-07-13","209"
"2016-07-14","208"
"2016-07-15","215"
"2016-07-16","211"
"2016-07-17","210"
"2016-07-18","212"
"2016-07-19","203"
"2016-07-20","199"
"2016-07-21","192"
"2016-07-22","177"
"2016-07-23","145"
"2016-07-24","144"
"2016-07-25","149"
"2016-07-26","147"
"2016-07-27","154"
"2016-07-28","150"
"2016-07-29","157"
"2016-07-30","169"
"2016-07-31","172"
"2016-08-01","177"
"2016-08-02","170"
"2016-08-03","170"
"2016-08-04","170"
"2016-08-05","169"
"2016-08-06","184"
"2016-08-07","185"
"2016-08-08","181"
"2016-08-09","174"
"2016-08-10","180"
"2016-08-11","183"
"2016-08-12","178"
"2016-08-13","190"
"2016-08-14","190"
"2016-08-15","193"
"2016-08-16","187"
"2016-08-17","189"
"2016-08-18","192"
"2016-08-19","196"
"2016-08-20","192"
"2016-08-21","192"
"2016-08-22","193"
"2016-08-23","183"
"2016-08-24","199"
"2016-08-25","201"
"2016-08-26","199"
"2016-08-27","189"
"2016-08-28","190"
"2016-08-29","195"
"2016-08-30","186"
"2016-08-31","189"
"2016-09-01","187"
"2016-09-02","188"
"2016-09-03","183"
"2016-09-04","183"
"2016-09-05","184"
"2016-09-06","192"
"2016-09-07","195"
"2016-09-08","201"
"2016-09-09","192"
"2016-09-10","192"
"2016-09-11","193"
"2016-09-12","197"
"2016-09-13","182"
"2016-09-14","189"
"2016-09-15","188"
"2016-09-16","189"
"2016-09-17","191"
"2016-09-18","189"
"2016-09-19","190"
"2016-09-20","194"
"2016-09-21","188"
"2016-09-22","191"
"2016-09-23","188"
"2016-09-24","183"
"2016-09-25","184"
"2016-09-26","188"
"2016-09-27","181"
"2016-09-28","180"
"2016-09-29","176"
"2016-09-30","181"
"2016-10-01","174"
"2016-10-02","176"
"2016-10-03","177"
"2016-10-04","190"
"2016-10-05","191"
"2016-10-06","191"
"2016-10-07","183"
"2016-10-08","195"
"2016-10-09","194"
"2016-10-10","197"
"2016-10-11","194"
"2016-10-12","193"
"2016-10-13","193"
"2016-10-14","194"
"2016-10-15","193"
"2016-10-16","189"
"2016-10-17","189"
"2016-10-18","182"
"2016-10-19","184"
"2016-10-20","176"
"2016-10-21","159"
"2016-10-22","148"
"2016-10-23","147"
"2016-10-24","150"
"2016-10-25","143"
"2016-10-26","156"
"2016-10-27","145"
"2016-10-28","161"
"2016-10-29","156"
"2016-10-30","158"
"2016-10-31","164"
"2016-11-01","156"
"2016-11-02","158"
"2016-11-03","154"
"2016-11-04","148"
"2016-11-05","140"
"2016-11-06","140"
"2016-11-07","141"
"2016-11-08","144"
"2016-11-09","138"
"2016-11-10","137"
"2016-11-11","139"
"2016-11-12","136"
"2016-11-13","136"
"2016-11-14","137"
"2016-11-15","134"
"2016-11-16","139"
"2016-11-17","134"
"2016-11-18","134"
"2016-11-19","125"
"2016-11-20","125"
"2016-11-21","128"
"2016-11-22","131"
"2016-11-23","135"
"2016-11-24","137"
"2016-11-25","137"
"2016-11-26","129"
"2016-11-27","131"
"2016-11-28","131"
"2016-11-29","126"
"2016-11-30","129"
"2016-12-01","130"
"2016-12-02","130"
"2016-12-03","120"
"2016-12-04","121"
"2016-12-05","122"
"2016-12-06","121"
"2016-12-07","122"
"2016-12-08","122"
"2016-12-09","113"
"2016-12-10","116"
"2016-12-11","117"
"2016-12-12","123"
"2016-12-13","118"
"2016-12-14","118"
"2016-12-15","115"
"2016-12-16","112"
"2016-12-17","122"
"2016-12-18","122"
"2016-12-19","124"
"2016-12-20","122"
"2016-12-21","124"
"2016-12-22","132"
"2016-12-23","124"
"2016-12-24","124"
"2016-12-25","125"
"2016-12-26","125"
"2016-12-27","124"
"2016-12-28","121"
"2016-12-29","115"
"2016-12-30","114"
"2016-12-31","109"
"2017-01-01","111"
"2017-01-02","110"
"2017-01-03","111"
"2017-01-04","109"
"2017-01-05","112"
"2017-01-06","108"
"2017-01-07","110"
"2017-01-08","110"
"2017-01-09","118"
"2017-01-10","122"
"2017-01-11","125"
"2017-01-12","122"
"2017-01-13","123"
"2017-01-14","125"
"2017-01-15","128"
"2017-01-16","127"
"2017-01-17","122"
"2017-01-18","121"
"2017-01-19","125"
"2017-01-20","125"
"2017-01-21","118"
"2017-01-22","121"
"2017-01-23","126"
"2017-01-24","120"
"2017-01-25","111"
"2017-01-26","113"
"2017-01-27","115"
"2017-01-28","112"
"2017-01-29","112"
"2017-01-30","115"
"2017-01-31","119"
"2017-02-01","122"
"2017-02-02","122"
"2017-02-03","120"
"2017-02-04","121"
"2017-02-05","121"
